,batting_team,bowling_team,wicket_fallen,score,target,runs_prev_5,wick_prev_5,balls_left,venue,req
26892,RCB,KTK,3,99,161,33.0,1.0,44,Others,62
42908,MI,RR,0,159,162,41.0,0.0,14,Sawai Mansingh Stadium,3
11909,KXIP,HDC,2,134,175,33.0,1.0,31,"Punjab Cricket Association Stadium, Mohali",41
37453,PWI,CSK,1,15,164,38.45717232572607,1.3591565436626174,108,"MA Chidambaram Stadium, Chepauk",149
69624,DC,KXIP,0,23,181,38.45717232572607,1.3591565436626174,97,"Punjab Cricket Association Stadium, Mohali",158
43244,DC,CSK,4,111,222,37.0,2.0,42,"MA Chidambaram Stadium, Chepauk",111
48944,KXIP,RCB,1,61,174,37.0,0.0,71,M Chinnaswamy Stadium,113
37640,RCB,KXIP,3,86,163,46.0,0.0,47,"Punjab Cricket Association Stadium, Mohali",77
45770,PWI,SRH,0,19,119,38.45717232572607,1.3591565436626174,106,Subrata Roy Sahara Stadium,100
38582,PWI,HDC,3,73,177,34.0,2.0,61,Subrata Roy Sahara Stadium,104
16033,KXIP,RR,2,12,211,38.45717232572607,1.3591565436626174,100,Others,199
31861,KXIP,RCB,6,67,205,31.0,2.0,55,M Chinnaswamy Stadium,138
32685,RCB,RR,1,100,146,32.0,0.0,51,Sawai Mansingh Stadium,46
82626,CSK,KKR,2,44,170,35.0,2.0,87,Eden Gardens,126
21571,CSK,RCB,1,15,171,38.45717232572607,1.3591565436626174,103,M Chinnaswamy Stadium,156
21100,RCB,MI,0,30,151,38.45717232572607,1.3591565436626174,93,Others,121
31187,KTK,DC,3,141,140,48.0,0.0,30,Feroz Shah Kotla,-1
41833,CSK,KKR,3,124,158,26.0,1.0,24,Eden Gardens,34
49280,RCB,SRH,2,65,161,31.0,2.0,64,M Chinnaswamy Stadium,96
68405,GL,RPS,4,180,195,48.0,2.0,10,Maharashtra Cricket Association Stadium,15
65138,MI,SRH,0,106,113,44.0,0.0,41,"Rajiv Gandhi International Stadium, Uppal",7
83004,RR,KXIP,1,83,190,50.0,1.0,71,Others,107
69773,MI,SRH,5,49,177,22.0,3.0,70,Others,128
72039,KKR,SRH,2,60,162,27.0,1.0,69,Feroz Shah Kotla,102
30640,KKR,KXIP,2,35,119,38.45717232572607,1.3591565436626174,94,Eden Gardens,84
65194,CSK,MI,2,67,187,37.0,1.0,71,Wankhede Stadium,120
26224,RCB,MI,7,129,184,28.0,2.0,18,Dr DY Patil Sports Academy,55
25677,KKR,RR,2,26,132,38.45717232572607,1.3591565436626174,100,Eden Gardens,106
21606,CSK,RCB,1,46,171,28.0,0.0,70,M Chinnaswamy Stadium,125
85488,RCB,SRH,3,80,179,32.0,0.0,61,M Chinnaswamy Stadium,99
17662,RCB,CSK,2,17,129,38.45717232572607,1.3591565436626174,104,Others,112
80921,RR,RCB,2,115,164,41.0,1.0,39,Sawai Mansingh Stadium,49
81475,SRH,MI,2,35,142,38.45717232572607,1.3591565436626174,94,"Rajiv Gandhi International Stadium, Uppal",107
78285,CSK,DC,4,113,171,23.0,2.0,14,Feroz Shah Kotla,58
83154,SRH,CSK,3,106,139,32.0,1.0,44,"Rajiv Gandhi International Stadium, Uppal",33
78177,SRH,RCB,3,206,222,53.0,1.0,2,M Chinnaswamy Stadium,16
4618,DC,GL,3,190,208,41.0,2.0,22,Feroz Shah Kotla,18
4466,RPS,KKR,3,100,155,30.0,1.0,55,Eden Gardens,55
77258,RR,CSK,4,111,188,27.0,2.0,41,Sawai Mansingh Stadium,77
76769,RCB,SRH,2,76,155,33.0,1.0,63,"Rajiv Gandhi International Stadium, Uppal",79
13224,DC,KXIP,0,5,104,38.45717232572607,1.3591565436626174,116,Others,99
30047,KTK,HDC,3,1,129,38.45717232572607,1.3591565436626174,111,Others,128
35548,KXIP,PWI,2,49,166,37.0,0.0,65,Subrata Roy Sahara Stadium,117
18193,HDC,KKR,1,69,160,29.0,1.0,62,Others,91
37194,RCB,PWI,3,107,182,57.0,1.0,42,M Chinnaswamy Stadium,75
33194,DC,KXIP,0,18,170,38.45717232572607,1.3591565436626174,95,Others,152
15024,DC,HDC,3,87,148,33.0,0.0,46,Others,61
73395,SRH,KKR,3,66,145,16.0,1.0,59,Eden Gardens,79
77153,SRH,DC,1,152,190,61.0,0.0,32,Feroz Shah Kotla,38
4065,MI,RCB,1,42,162,38.45717232572607,1.3591565436626174,92,Wankhede Stadium,120
67780,KKR,RPS,3,61,160,32.0,2.0,79,Maharashtra Cricket Association Stadium,99
63381,SRH,KKR,6,78,167,21.0,2.0,39,Eden Gardens,89
36490,DC,HDC,4,83,157,31.0,1.0,47,Feroz Shah Kotla,74
39907,HDC,CSK,1,75,160,39.0,0.0,61,"MA Chidambaram Stadium, Chepauk",85
57889,RCB,KKR,5,139,195,47.0,3.0,15,Eden Gardens,56
64860,CSK,KXIP,2,64,130,40.0,0.0,71,"Punjab Cricket Association Stadium, Mohali",66
35436,KKR,RR,5,73,164,43.0,1.0,53,Sawai Mansingh Stadium,91
53505,DC,SRH,0,12,184,38.45717232572607,1.3591565436626174,108,Others,172
75344,MI,CSK,0,42,176,38.45717232572607,1.3591565436626174,91,Maharashtra Cricket Association Stadium,134
17559,HDC,DC,2,50,173,31.0,2.0,84,Others,123
72896,CSK,KKR,3,132,207,45.0,1.0,35,"MA Chidambaram Stadium, Chepauk",75
60958,RR,CSK,0,19,156,38.45717232572607,1.3591565436626174,102,Others,137
23799,HDC,RR,6,139,159,36.0,3.0,15,Others,20
23583,RCB,DC,0,23,184,38.45717232572607,1.3591565436626174,105,Feroz Shah Kotla,161
13830,KKR,RR,5,94,150,29.0,3.0,34,Others,56
4706,RCB,KXIP,6,82,138,29.0,2.0,41,M Chinnaswamy Stadium,56
35540,KXIP,PWI,2,31,166,22.0,1.0,71,Subrata Roy Sahara Stadium,135
15596,DC,CSK,2,49,163,44.0,2.0,84,Others,114
80328,KXIP,MI,2,159,187,54.0,1.0,23,Others,28
61810,RCB,RR,1,90,130,33.0,0.0,51,Others,40
3342,GL,RCB,2,29,134,38.45717232572607,1.3591565436626174,93,M Chinnaswamy Stadium,105
66524,GL,MI,1,65,143,40.0,0.0,70,Wankhede Stadium,78
71580,GL,MI,1,93,172,63.0,0.0,69,Others,79
54154,CSK,SRH,5,138,145,24.0,4.0,7,Others,7
83746,SRH,KKR,0,125,164,43.0,0.0,50,"Rajiv Gandhi International Stadium, Uppal",39
53503,DC,SRH,0,10,184,38.45717232572607,1.3591565436626174,110,Others,174
18753,KKR,RR,2,9,101,38.45717232572607,1.3591565436626174,113,Others,92
50209,KXIP,SRH,3,51,150,30.0,2.0,69,"Punjab Cricket Association Stadium, Mohali",99
28477,KKR,RR,2,32,81,21.0,1.0,74,Eden Gardens,49
75391,MI,CSK,1,102,176,44.0,1.0,45,Maharashtra Cricket Association Stadium,74
29880,RCB,DC,5,110,160,14.0,1.0,35,Feroz Shah Kotla,50
46337,RCB,RR,0,18,117,38.45717232572607,1.3591565436626174,105,M Chinnaswamy Stadium,99
1325,MI,RCB,6,126,142,57.0,1.0,15,M Chinnaswamy Stadium,16
36010,RR,MI,3,89,197,41.0,1.0,53,Wankhede Stadium,108
75338,MI,CSK,0,35,176,38.45717232572607,1.3591565436626174,97,Maharashtra Cricket Association Stadium,141
72361,CSK,MI,0,16,169,38.45717232572607,1.3591565436626174,108,Wankhede Stadium,153
7712,MI,KXIP,9,116,182,17.0,2.0,6,"Punjab Cricket Association Stadium, Mohali",66
34977,MI,PWI,5,66,129,24.0,2.0,39,Wankhede Stadium,63
27051,PWI,KXIP,1,6,112,38.45717232572607,1.3591565436626174,108,Dr DY Patil Sports Academy,106
71988,RCB,GL,6,159,158,65.0,0.0,10,M Chinnaswamy Stadium,-1
11110,RCB,RR,4,32,197,17.0,1.0,67,Sawai Mansingh Stadium,165
4784,SRH,RPS,2,48,148,35.0,2.0,80,"Rajiv Gandhi International Stadium, Uppal",100
69438,SRH,GL,3,67,126,28.0,1.0,50,"Rajiv Gandhi International Stadium, Uppal",59
7944,HDC,MI,0,20,154,38.45717232572607,1.3591565436626174,107,Dr DY Patil Sports Academy,134
70003,KXIP,RCB,3,88,175,38.0,2.0,54,"Punjab Cricket Association Stadium, Mohali",87
75976,RR,DC,1,85,203,61.0,1.0,79,Feroz Shah Kotla,118
20983,KKR,RR,1,37,168,37.0,1.0,89,Others,131
27989,KTK,MI,0,51,182,44.0,0.0,82,Wankhede Stadium,131
39640,KXIP,RCB,1,54,158,42.0,1.0,83,M Chinnaswamy Stadium,104
83590,DC,KXIP,1,67,168,49.0,1.0,77,Feroz Shah Kotla,101
54175,KXIP,RCB,0,13,124,38.45717232572607,1.3591565436626174,105,Others,111
46202,SRH,KXIP,5,113,123,38.0,2.0,10,"Rajiv Gandhi International Stadium, Uppal",10
64754,KKR,MI,6,144,171,40.0,3.0,16,Wankhede Stadium,27
22391,HDC,MI,1,4,172,38.45717232572607,1.3591565436626174,116,Dr DY Patil Sports Academy,168
22360,CSK,RR,3,122,177,38.0,0.0,26,Others,55
7288,DC,HDC,1,37,142,38.45717232572607,1.3591565436626174,92,"Rajiv Gandhi International Stadium, Uppal",105
66943,KKR,KXIP,0,9,138,38.45717232572607,1.3591565436626174,117,"Punjab Cricket Association Stadium, Mohali",129
27403,MI,RCB,1,50,140,29.0,1.0,76,M Chinnaswamy Stadium,90
66939,SRH,MI,3,139,142,53.0,1.0,16,"Rajiv Gandhi International Stadium, Uppal",3
86174,CSK,MI,2,73,152,35.0,1.0,64,"Rajiv Gandhi International Stadium, Uppal",79
62561,DC,KXIP,0,43,118,29.0,0.0,82,Feroz Shah Kotla,75
22925,RR,DC,5,69,188,36.0,1.0,60,Feroz Shah Kotla,119
48695,PWI,RCB,9,166,187,48.0,5.0,3,Subrata Roy Sahara Stadium,21
49065,CSK,MI,6,46,139,25.0,2.0,61,Wankhede Stadium,93
27714,RCB,HDC,0,1,175,38.45717232572607,1.3591565436626174,116,"Rajiv Gandhi International Stadium, Uppal",174
10559,DC,KKR,4,39,133,28.0,3.0,80,Eden Gardens,94
23948,RR,KXIP,0,5,153,38.45717232572607,1.3591565436626174,115,Sawai Mansingh Stadium,148
74279,RR,CSK,9,148,210,35.0,4.0,10,Maharashtra Cricket Association Stadium,62
74201,RR,CSK,3,40,210,20.0,3.0,82,Maharashtra Cricket Association Stadium,170
50563,KXIP,DC,4,73,120,23.0,1.0,61,Feroz Shah Kotla,47
18803,KKR,RR,5,37,101,16.0,3.0,64,Others,64
75969,RR,DC,0,75,203,61.0,0.0,86,Feroz Shah Kotla,128
27159,HDC,KKR,2,32,163,30.0,2.0,82,Eden Gardens,131
64555,DC,CSK,2,88,119,38.0,0.0,46,Others,31
78051,KXIP,MI,4,178,197,48.0,3.0,4,Wankhede Stadium,19
40710,HDC,KXIP,2,31,170,38.45717232572607,1.3591565436626174,90,"Rajiv Gandhi International Stadium, Uppal",139
43514,MI,RCB,0,3,156,38.45717232572607,1.3591565436626174,112,M Chinnaswamy Stadium,153
59176,KKR,MI,1,37,168,34.0,1.0,86,Eden Gardens,131
18311,HDC,KXIP,2,57,134,23.0,2.0,68,Others,77
36148,CSK,RCB,2,128,205,56.0,1.0,35,"MA Chidambaram Stadium, Chepauk",77
69361,RPS,DC,3,153,162,49.0,1.0,9,Feroz Shah Kotla,9
45293,RR,KXIP,0,30,124,38.45717232572607,1.3591565436626174,97,Sawai Mansingh Stadium,94
16527,KXIP,CSK,3,84,185,49.0,2.0,65,Others,101
